"",,,,Historically,,,,,,,,,,,,,,,
"",,,,black,,,,,,,,,,,,,,,
"",,Evangelical,Mainline,Protestant,,,Orthodox,Jehovah's,Other,,,,,Other world,,,,,Sample
"",,tradition,tradition,tradition,Catholic,Mormon,Christian,Witness,Christian,Jewish,Muslim,Buddhist,Hindu,religions,Other faiths,Unaffiliated,DK/Ref.,Total,size
"",,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,
Total United States,2014,25,15,6,21,2,*,1,*,2,1,1,1,*,2,23,1,100,"35,071"
"",2007,26,18,7,24,2,1,1,*,2,*,1,*,*,1,16,1,100,"35,556"
Midwest,2014,26,19,5,21,1,*,1,*,1,1,1,*,*,1,22,1,100,"7,491"
"",2007,26,22,6,24,1,*,1,*,1,*,*,*,*,1,16,1,100,"9,078"
Illinois,2014,20,16,7,28,*,1,1,*,2,1,1,1,*,1,22,1,100,"1,326"
"",2007,19,17,9,32,*,1,1,*,2,*,1,1,*,1,15,1,100,"1,340"
Indiana,2014,31,16,5,18,1,*,*,*,1,*,*,*,*,1,26,*,100,654
"",2007,34,22,6,18,1,*,1,*,1,*,*,*,*,*,16,*,100,924
Iowa,2014,28,30,2,18,*,*,*,*,*,1,*,*,*,*,21,1,100,330
"",2007,24,30,1,25,1,*,*,*,1,*,*,*,*,1,15,1,100,487
Kansas,2014,31,24,2,18,1,*,1,*,*,1,1,*,*,2,20,*,100,307
"",2007,29,27,3,23,1,*,*,*,*,*,*,*,*,1,14,1,100,421
Michigan,2014,25,18,8,18,*,*,1,1,1,1,1,*,*,1,24,1,100,982
"",2007,26,19,8,23,1,*,1,*,1,1,1,*,*,1,17,1,100,"1,275"
Minnesota,2014,19,29,2,22,1,*,*,*,1,1,*,*,1,1,20,2,100,563
"",2007,21,32,1,28,*,*,*,*,1,1,1,*,*,1,13,*,100,789
Missouri,2014,36,16,6,16,1,*,*,*,*,*,1,*,*,1,20,*,100,642
"",2007,37,18,6,18,1,*,1,*,1,*,*,*,*,1,16,*,100,879
Nebraska,2014,25,24,2,23,1,*,*,*,*,*,1,1,*,1,20,1,100,312
"",2007,21,27,3,31,*,*,*,*,*,*,*,*,*,1,16,*,100,247
North Dakota,2014,22,28,1,26,*,*,*,*,*,1,*,*,*,2,20,*,100,338
"",2007,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Ohio,2014,29,17,7,18,1,*,1,*,1,1,1,*,*,2,22,*,100,"1,132"
"",2007,26,22,7,21,*,1,1,*,1,1,*,*,*,1,17,1,100,"1,654"
South Dakota,2014,25,32,*,22,*,*,*,*,*,*,1,*,*,2,18,*,100,305
"",2007,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Wisconsin,2014,22,18,4,25,*,1,1,*,1,1,*,*,*,1,25,*,100,600
"",2007,24,23,3,29,*,1,*,1,*,*,*,*,*,1,16,1,100,824
